,Unnamed: 0,a01,aeu,totexp_m,hh_type,div,District,Upazila,Union,Village,lat1,long1,totexp_m_pc
5402,5403,5233.0,6.51999992132187,5874.895839691159,3,60,91,9159,915976,91597601,25.1322222222222,92.45222222222219,-0.30411790730790517
5403,5404,5234.0,2.9899999797344203,2844.7321395874,3,60,91,9159,915976,91597601,25.1588888888889,92.4466666666667,-0.23558804774981765
5404,5405,5235.0,3.09999996423721,2547.97619628906,3,60,91,9159,915976,91597601,25.178333333333303,92.4397222222222,-0.4118024903793968
5405,5406,5236.0,5.779999911785129,4108.47230148315,3,60,91,9159,915976,91597601,25.240833333333303,92.3783333333333,-0.563020429233371
5406,5407,5237.0,3.2299999892711604,1833.08626747131,3,60,91,9159,915976,91597601,25.1669444444444,92.4747222222222,-0.7580171455517628
5407,5408,5238.0,5.309999883174901,4156.369140625,3,60,91,9159,915976,91597601,25.163611111111102,92.48638888888891,-0.46512651190393245
5408,5409,5239.0,4.4999999403953606,2654.44437026978,3,60,91,9159,915976,91597601,25.1247222222222,92.45222222222219,-0.7275916449734594
5409,5410,5240.0,2.14000001549721,2043.27379226685,3,60,91,9159,915976,91597601,25.1352777777778,92.43611111111109,-0.2309810042396656
5410,5411,5241.0,2.77999994158745,2082.3660736084,3,60,91,9162,916242,91624201,25.0758333333333,92.0247222222222,-0.5109754619772756
5411,5412,5242.1,2.10999995470047,2572.63888454437,3,60,91,9162,916242,91624201,25.0902777777778,92.01361111111109,0.12891094857642105
5412,5413,5242.2,2.20999997854233,1802.8174705505398,3,60,91,9162,916242,91624201,25.0902777777778,92.01361111111109,-0.4202034769541301
5413,5414,5242.3,3.9299999475479104,3906.3214263915997,3,60,91,9162,916242,91624201,25.0902777777778,92.01361111111109,-0.17767056348465238
5414,5415,5243.0,3.5399999320507,3741.6310272216797,3,60,91,9162,916242,91624201,25.065,91.98194444444451,-0.09195954991112834
5415,5416,5244.0,1.89000001549721,3020.1785736084003,3,60,91,9162,916242,91624201,25.1372222222222,92.0127777777778,0.644292753942828
5416,5417,5245.0,4.05999994277954,3217.3809585571303,3,60,91,9162,916242,91624201,25.128333333333302,52.0433333333333,-0.4519062525471685
5417,5418,5246.0,4.94999992847443,3503.86889648438,3,60,91,9162,916242,91624201,25.1291666666667,92.05111111111108,-0.5670432042655662
5418,5419,5247.1,5.549999952316281,3343.8691253662105,3,60,91,9162,916242,91624201,25.1366666666667,92.05027777777781,-0.7104143173735595
5419,5420,5247.2,2.27999997138977,1919.7618255615198,3,60,91,9162,916242,91624201,25.1366666666667,92.05027777777781,-0.3844859653684363
5420,5421,5248.0,6.339999914169309,5733.55674743652,3,60,91,9162,916242,91624201,25.155,92.01194444444451,-0.2996422486001143
5421,5422,5249.0,8.00999984145164,3698.7770767211896,3,60,91,9162,916242,91624201,25.1108333333333,91.97361111111108,-0.9019267138944069
5422,5423,5250.0,3.7699999213218702,3235.20825576782,3,60,91,9162,916242,91624201,25.0963888888889,91.98472222222219,-0.36251539113583026
5423,5424,5251.0,4.04999992251396,2571.88094711304,3,60,91,9162,916242,91624201,25.1516666666667,92.005,-0.6661409383642991
