a01,aeu,totexp_m,div,district,hh_type,lat1,long1,totexp_m_pc
256,2.289999962,9480.026475,10,6,national representative,23.05666667,90.60083333,4139.749622
257,3.219999969,5569.512792,10,6,national representative,23.08555556,90.5075,1729.662375
258,2.629999936,9276.016901,10,6,national representative,23.09111111,90.50472222,3527.00271
259,0.610000014,3104.060986,10,6,national representative,23.08833333,90.50777778,5088.624447
260,4.73999989,13208.66035,10,6,national representative,22.99083333,90.55444444,2786.637269
261,2.389999926,14081.22378,10,6,national representative,23.03972222,90.35972222,5891.725613
262,3.319999993,10223.53323,10,6,national representative,23.03166667,90.35305556,3079.377486
263,2.74999997,11788.54257,10,6,national representative,23.06972222,90.35861111,4286.742801
264,4.019999951,8553.062496,10,6,national representative,23.055,90.33833333,2127.627512
265,2.089999974,10513.55224,10,6,national representative,23.04888889,90.30805556,5030.407832
266,3.329999924,11684.02242,10,6,national representative,23.05972222,90.30555556,3508.715521
267,3.479999959,6681.155399,10,6,national representative,23.07166667,90.33055556,1919.872264
268,3.429999948,10055.44742,10,6,national representative,22.86027778,90.29361111,2931.617367
269,5.099999964,10831.99624,10,6,national representative,22.86055556,90.29583333,2123.920845
270,4.619999886,15922.9024,10,6,national representative,22.85333333,90.31416667,3446.515757
271,4.759999931,10167.17735,10,6,national representative,22.85777778,90.32027778,2135.961658
272,1.399999976,4943.206455,10,6,national representative,23.10305556,90.33194444,3530.861814
273,1.729999959,5213.826118,10,6,national representative,23.09666667,90.35083333,3013.772393
274,2.25999999,4460.094624,10,6,national representative,23.09416667,90.35527778,1973.493205
275,3.049999952,6922.305362,10,6,national representative,23.08861111,90.35027778,2269.608351
276,3.959999919,20054.65576,10,6,national representative,23.10555556,90.37194444,5064.307113
277,2.559999943,20966.21652,10,6,national representative,23.09555556,90.37138889,8189.928512
278,4.73999989,13238.57988,10,6,national representative,23.10611111,90.38027778,2792.949406
279,3.569999933,15869.28888,10,6,national representative,23.0925,90.37416667,4445.179041
280,3.959999919,19840.48818,10,6,national representative,23.07805556,90.37388889,5010.224391
281,3.539999932,16188.18908,10,9,national representative,22.75027778,90.80916667,4572.934856
282,7.019999951,17016.45765,10,9,national representative,22.74111111,90.80444444,2423.996833
283,4.619999975,4467.534396,10,9,national representative,22.73472222,90.79805556,966.9987923
284,1.290000021,4931.434082,10,9,national representative,22.74083333,90.78916667,3822.817054
285,2.279999971,3585.229864,10,9,national representative,22.72861111,90.79083333,1572.469258
286,5.339999944,19981.02293,10,9,national representative,22.72055556,90.7925,3741.764633
287,4.479999959,20461.67334,10,9,national representative,22.70555556,90.79444444,4567.337841
288,3.930000007,6131.006718,10,9,national representative,22.69833333,90.79055556,1560.052597
289,1.50999999,4338.444542,10,9,national representative,22.7125,90.7825,2873.142099
290,2.339999974,4242.402976,10,9,national representative,22.72666667,90.78472222,1812.992745
291,5.959999919,19300.03972,10,9,national representative,22.72694444,90.78444444,3238.261742
292,5.359999925,7497.733014,10,9,national representative,22.7275,90.77305556,1398.830806
293,3.119999945,9235.933209,10,9,national representative,22.74666667,90.75861111,2960.235055
294,3.650000036,8373.594631,10,9,national representative,22.75583333,90.75055556,2294.135493
295,4.149999976,6177.356867,10,9,national representative,22.75305556,90.75777778,1488.519736
296,2.75,7560.380399,10,9,national representative,22.75138889,90.76083333,2749.229236
297,3.939999968,8454.073664,10,9,national representative,22.74305556,90.77805556,2145.703993
298,1.389999986,3587.683459,10,9,national representative,22.75333333,90.76805556,2581.067263
299,1.75,5622.546082,10,9,national representative,22.75555556,90.77833333,3212.883475
300,4.430000007,10347.79953,10,9,national representative,22.74805556,90.77861111,2335.846392
301,3.059999943,16949.43832,10,9,national representative,22.32611111,90.81805556,5539.032234
302,3.539999962,8100.375273,10,9,national representative,22.24944444,90.72861111,2288.241627
303,4.799999893,13214.02201,10,9,national representative,22.08777778,90.82055556,2752.921314
304,4.349999905,7662.622261,10,9,national representative,22.26138889,90.73722222,1761.522397
305,2.139999986,7957.783347,10,9,national representative,22.25666667,90.68916667,3718.590374
306,2.769999981,5005.258734,10,9,national representative,22.31833333,90.75972222,1806.952624
307,2.439999968,3630.576184,10,9,national representative,22.34361111,90.78138889,1487.941079
308,2.569999993,9310.991802,10,9,national representative,22.11888889,90.63861111,3622.954019
309,3.289999962,23620.36073,10,9,national representative,22.25472222,90.67555556,7179.441034
310,2.170000017,6952.759467,10,9,national representative,22.33888889,90.78333333,3204.036596
311,2.140000045,7040.355346,10,9,national representative,22.12805556,90.77305556,3289.885606
312,2.719999999,7708.933785,10,9,national representative,22.10277778,90.89861111,2834.166834
313,1.560000002,4960.649076,10,9,national representative,22.09777778,90.88583333,3179.903249
314,2.599999964,2183.679556,10,9,national representative,22.09527778,90.87722222,839.8767639
315,2.020000011,4380.689334,10,9,national representative,22.10583333,90.86055556,2168.658075
316,7.73999995,43157.47161,10,9,national representative,22.12805556,90.88055556,5575.900761
317,2.870000005,16604.07929,10,9,national representative,22.16111111,90.86444444,5785.393472
318,1.800000012,4965.380651,10,9,national representative,22.22555556,90.88333333,2758.544788
319,1.50999999,8556.793052,10,9,national representative,22.25472222,90.84416667,5666.750401
320,2.319999993,8060.051068,10,9,national representative,22.17388889,90.80333333,3474.159954
321,3.129999995,9789.664881,10,9,national representative,22.68111111,90.81916667,3127.688465
322,4.879999936,17423.2493,10,9,national representative,22.67388889,90.83111111,3570.338018
323,2,5527.641,10,9,national representative,22.66138889,90.82388889,2763.8205
324,6.099999964,29664.1731,10,9,national representative,22.64722222,90.8375,4862.979225
325,4.769999981,8447.444508,10,9,national representative,22.63527778,90.85,1770.952734
326,5.159999907,11299.04567,10,9,national representative,22.88472222,90.86111111,2189.737572
327,1.430000007,7271.363276,10,9,national representative,22.87305556,90.87333333,5084.869398
328,4.109999955,21971.56526,10,9,national representative,22.67888889,90.81583333,5345.879684
329,6.519999951,29348.28211,10,9,national representative,22.67194444,90.80694444,4501.270296
330,2.329999983,10681.11892,10,9,national representative,22.68,90.78611111,4584.171244
331,4.23999995,12395.21635,10,9,national representative,22.66444444,90.77527778,2923.400118
