a01,aeu,totexp_m,hh_type,div,District,lat1,long1,totexp_m_pc
212,1.859999955,1566.488014,3,10,6,22.9875,90.69944444,842.1978776
213,2.040000021,5669.67267,3,10,6,22.93055556,90.69833333,2779.25128
214,4.079999924,4890.08329,3,10,6,22.94333333,90.67444444,1198.549848
215.1,1.50999999,2232.499993,3,10,6,23.17083333,90.70388889,1478.476826
215.2,2.759999961,1967.630953,3,10,6,23.17083333,90.70388889,712.9097757
216,2.900000036,4083.154789,3,10,6,23.00277778,90.66055556,1407.984393
217,NA,0,3,10,6,23.01444444,90.62527778,NA
218,5.289999932,3539.630955,3,10,6,22.98722222,90.60416667,669.1173913
219,5.929999948,9019.940491,3,10,6,22.93222222,90.71055556,1521.069236
220,3.24999997,2533.919012,3,10,6,23.00166667,90.60194444,779.6673955
221,6.799999952,6402.011292,2,10,6,22.92,90.49611111,941.4722554
222,5.339999914,3652.261745,2,10,6,22.915,90.49222222,683.9441581
223,NA,0,2,10,6,22.91777778,90.47194444,NA
224,3.419999957,4195.785797,2,10,6,22.92805556,90.43666667,1226.837968
225,4.099999964,3224.41674,2,10,6,22.92666667,90.28194444,786.4431143
226,2.329999983,2506.349174,2,10,6,22.905,90.43,1075.686349
227,4.789999932,6562.152557,2,10,6,22.92277778,90.43277778,1369.969238
228,4.499999881,3813.809381,2,10,6,22.90555556,90.41694444,847.5132183
229,NA,0,2,10,6,22.89805556,90.38027778,NA
230,2.430000007,2139.166655,2,10,6,22.87222222,90.36166667,880.3154931
231,3.429999948,3782.499962,2,10,6,22.84027778,90.3775,1102.769685
232,3.979999959,14882.38082,2,10,6,22.81027778,90.4675,3739.291702
233,3.149999976,3719.747005,2,10,6,22.84472222,90.46805556,1180.872074
234,1.859999955,3397.77383,2,10,6,22.88888889,90.51305556,1826.760168
235,3.049999923,2479.488143,2,10,6,22.88166667,90.53361111,812.9469528
236,NA,0,2,10,6,22.86722222,90.52527778,NA
237,1.859999955,2742.559586,2,10,6,22.86,90.53638889,1474.494437
238,2.879999995,2181.874977,2,10,6,22.86583333,90.29833333,757.5954794
239,3.819999963,3017.750002,2,10,6,22.81166667,90.28611111,789.9869191
240.1,3.579999954,3759.910542,2,10,6,22.82027778,90.30722222,1050.254355
240.2,2.570000023,5177.029824,2,10,6,22.82027778,90.30722222,2014.408474
241,3.709999919,4921.339294,2,10,6,23.08833333,90.5075,1326.506577
242,2.199999988,2267.569382,2,10,6,22.99611111,90.52694444,1030.713361
243,4.789999902,2783.23407,2,10,6,23.08833333,90.50583333,581.0509659
244,3.649999946,2977.857155,2,10,6,23.01611111,90.58166667,815.8512873
245,4.509999931,3475.138841,2,10,6,23.08833333,90.50777778,770.5407747
246,1.50999999,2844.404827,2,10,6,23.09361111,90.50472222,1883.711818
247,3.709999919,1985.029774,2,10,6,23.09722222,90.50777778,535.0484682
248,3.709999919,4429.761948,2,10,6,23.08833333,90.50305556,1194.005942
249,2.329999983,4345.97226,2,10,6,23.01861111,90.57694444,1865.224159
250,3.079999983,3526.452545,2,10,6,23.09361111,90.50777778,1144.952131
251,3.559999973,2506.333338,2,10,6,23.09361111,90.50583333,704.0262239
252,2.279999971,742.7777748,2,10,6,22.99888889,90.45,325.7797299
253,NA,0,2,10,6,23.09111111,90.50583333,NA
254,4.73999989,3463.255951,2,10,6,23.09722222,90.50777778,730.6447323
255,2.889999956,4461.577469,2,10,6,23.14888889,90.55333333,1543.798456
256,2.74999997,3008.17868,2,10,6,23.05666667,90.60083333,1093.883168
257,2.219999969,1971.874952,2,10,6,23.08555556,90.5075,888.2319729
258,2.399999976,2138.015869,2,10,6,23.09111111,90.50472222,890.8399543
259,0.610000014,3950.595123,2,10,6,23.08833333,90.50777778,6476.385296
260,5.159999877,3755.39679,2,10,6,22.99083333,90.55444444,727.7900928
